Date,Opening,Highest,Lowest,Closing,Wolumen
2004-08-08,3.5583,3.8768,3.53963,3.7176,428869.73840756
2004-08-15,3.66141,3.69883,3.5959,3.68018,319207.13233115
2004-08-22,3.7176,3.79253,3.57715,3.63333,222794.16872736
2004-08-29,3.63333,4.02668,3.63333,4.02668,560903.90710665
2004-09-05,4.16712,4.36374,4.1297,4.16712,1001916.5208027
2004-09-12,4.24196,4.29814,4.1297,4.16712,402247.25306738
2004-09-19,4.20454,4.24196,4.09219,4.09219,281758.28501359
2004-09-26,4.11094,4.18578,4.02668,4.1297,268390.53307144
2004-10-03,4.09219,4.14836,4.02668,4.09219,240686.73517411
2004-10-10,4.1297,4.14836,3.63333,3.7176,508912.32226227
2004-10-17,3.63333,3.75511,3.57715,3.73626,402959.98262481
2004-10-24,3.73626,3.73626,3.44603,3.50221,434479.93820962
2004-10-31,3.4648,3.79253,3.36177,3.79253,525084.15592036
2004-11-07,3.79253,3.84871,3.63333,3.68018,238526.14643001
2004-11-14,3.83005,3.83005,3.73626,3.77378,232421.10867809
2004-11-21,3.83005,3.83005,3.57715,3.61467,269495.26388546
2004-11-28,3.61467,3.63333,3.44603,3.5959,280639.29960842
2004-12-05,3.57715,3.8113,3.52087,3.75511,529656.82512381
2004-12-12,3.79253,3.83005,3.63333,3.63333,367049.61296622
2004-12-19,3.63333,3.7176,3.57715,3.69883,509058.94091408
2004-12-26,3.7176,3.79253,3.57715,3.5959,705655.20748045
2005-01-02,3.61467,3.66141,3.48345,3.5583,481904.96296104
2005-01-09,3.63333,3.63333,3.50221,3.5583,240557.4256687
2005-01-16,3.57715,3.61467,3.44603,3.48345,358705.58621886
2005-01-23,3.52087,3.52087,3.16514,3.1838,411840.59291039
2005-01-30,3.16514,3.39919,2.931,3.36177,1037051.0334287
2005-02-06,3.3431,3.38052,3.21198,3.28683,268511.6970962
2005-02-13,3.26807,3.28683,3.21198,3.23065,278298.4921048
2005-02-20,3.24941,3.53963,3.21198,3.42738,1197676.8574167
2005-02-27,3.38052,3.5583,3.3431,3.4648,553551.5926292
2005-03-06,3.4648,3.4648,3.30559,3.36177,259228.90370321
2005-03-13,3.36177,3.36177,3.24941,3.24941,207034.70002749
2005-03-20,3.28683,3.28683,3.07145,3.10887,210998.49455188
2005-03-27,3.10887,3.23065,3.03402,3.21198,166473.26091412
2005-04-03,3.21198,3.28683,3.21198,3.26807,97269.257257784
2005-04-10,3.26807,3.26807,3.0902,3.14639,176274.31051388
2005-04-17,3.14639,3.21198,3.07145,3.10887,115043.71423503
2005-04-24,3.05279,3.05279,2.89358,2.94976,230348.08385104
2005-05-01,3.01537,3.01537,2.73438,2.85606,224635.04735569
2005-05-08,2.87482,2.94976,2.75313,2.78112,185901.2504646
2005-05-15,2.73438,2.78112,2.5845,2.73438,301292.16581259
2005-05-22,2.69696,2.78112,2.5845,2.71571,303435.4454103
2005-05-29,2.73438,2.89358,2.67819,2.87482,229688.29991788
2005-06-05,2.87482,2.87482,2.73438,2.75313,161670.48188213
2005-06-12,2.78112,2.96842,2.75313,2.87482,455667.35158188
2005-06-19,2.91234,2.931,2.78112,2.79989,358872.56857232
2005-06-26,2.78112,2.85606,2.73438,2.8374,193974.43998011
2005-07-03,2.79989,3.14639,2.75313,3.12772,2524611.2928137
2005-07-10,3.16514,3.24941,2.931,3.0902,1813602.4681719
2005-07-17,3.12772,3.1838,3.01537,3.05279,499288.43686677
2005-07-24,3.01537,3.0902,2.96842,2.9966,169009.55995349
2005-07-31,2.9966,3.10887,2.931,3.05279,397666.43838326
2005-08-07,2.9966,3.01537,2.67819,2.73438,936143.80087281
2005-08-14,2.71571,2.71571,2.5845,2.60326,668716.47088899
2005-08-21,2.5845,2.60326,2.42529,2.60326,471628.42092798
2005-08-28,2.62192,2.78112,2.56574,2.71571,545880.58622109
2005-09-04,2.69696,2.73438,2.64068,2.65954,358880.71405298
2005-09-11,2.62192,2.69696,2.54709,2.60326,141678.4177962
2005-09-18,2.5845,2.60326,2.48148,2.54709,148975.7502792
2005-09-25,2.54709,2.62192,2.50033,2.51899,311026.01519693
2005-10-02,2.54709,2.69696,2.51899,2.5845,415395.07703181
2005-10-09,2.65954,2.96842,2.56574,2.79989,1900944.4208798
2005-10-16,2.79989,2.96842,2.71571,2.79989,848425.1196846
2005-10-23,2.89358,2.96842,2.79989,2.81864,573436.74728153
2005-10-30,2.81864,2.9966,2.78112,2.8374,467764.40854163
2005-11-06,2.81864,2.91234,2.73438,2.87482,256279.22152053
2005-11-13,2.8374,2.85606,2.65954,2.67819,322901.1078088
2005-11-20,2.65954,2.67819,2.48148,2.65954,418552.46897122
2005-11-27,2.69696,2.69696,2.60326,2.64068,528478.78498388
2005-12-04,2.65954,2.67819,2.56574,2.64068,344714.7050065
2005-12-11,2.64068,2.64068,2.54709,2.60326,414760.7477257
2005-12-18,2.62192,2.69696,2.5845,2.62192,382290.82545932
2005-12-25,2.64068,2.79989,2.60326,2.71571,1001142.7001403
2006-01-01,2.67819,2.71571,2.5845,2.60326,585840.27795097
2006-01-08,2.60326,3.03402,2.5845,2.9966,1701663.200252
2006-01-15,2.9966,3.26807,2.89358,3.16514,2377852.1314581
2006-01-22,3.12772,3.39919,3.01537,3.07145,1995090.9044909
2006-01-29,3.03402,3.1838,2.96842,3.01537,989942.66423784
2006-02-05,2.9966,3.24941,2.85606,3.12772,1991946.7489575
2006-02-12,3.16514,3.4648,3.03402,3.32425,2625675.3258723
2006-02-19,3.26807,3.44603,3.0902,3.12772,1526111.8011465
2006-02-26,3.21198,3.21198,3.0902,3.12772,473263.62616974
2006-03-05,3.12772,3.16514,2.78112,2.89358,561333.58121127
2006-03-12,2.89358,2.94976,2.69696,2.79989,435668.16020038
2006-03-19,2.78112,2.87482,2.67819,2.87482,482865.11149341
2006-03-26,2.87482,3.05279,2.8374,2.931,630531.47575712
2006-04-02,2.931,3.01537,2.85606,2.9966,531300.17584623
2006-04-09,3.05279,3.0902,2.931,2.96842,762968.84574868
2006-04-16,2.96842,3.03402,2.85606,2.89358,418646.14199877
2006-04-23,2.85606,3.26807,2.75313,3.1838,1443683.6096445
2006-04-30,3.14639,3.24941,2.96842,2.9966,832165.72210945
2006-05-07,3.26807,4.00791,3.21198,3.75511,3722133.3860979
2006-05-14,3.83005,3.83005,3.39919,3.61467,1609488.9411447
2006-05-21,3.61467,3.83005,3.4648,3.53963,1140115.8001735
2006-05-28,3.5583,3.5583,2.5845,3.03402,1151800.4921751
2006-06-04,3.03402,3.26807,2.78112,3.26807,2227867.3597626
2006-06-11,3.28683,3.50221,2.96842,2.9966,1419191.1674959
2006-06-18,2.94976,3.05279,2.26609,2.79989,1087648.7228958
2006-06-25,2.85606,2.87482,2.60326,2.67819,342958.33573998
2006-07-02,2.73438,2.79989,2.64068,2.78112,272631.27393815
2006-07-09,2.79989,3.07145,2.73438,3.01537,547259.20882218
2006-07-16,2.94976,3.01537,2.5845,2.75313,1435412.8922231
2006-07-23,2.75313,2.75313,2.33169,2.46281,2080882.1613188
