Date,Opening,Highest,Lowest,Closing,Wolumen
2020-03-23,53.8759,54.8119,51.5647,52.1762,1237251.424658
2020-03-24,55.3848,56.0531,53.952,55.8047,1199418.8830191
2020-03-25,58.2497,58.2497,54.0483,56.3016,1309949.6773621
2020-03-26,54.4488,56.8168,54.0858,56.683,874536.91621955
2020-03-27,57.1606,57.2376,54.965,55.4802,728546.42163105
2020-03-30,56.2245,56.3209,54.1628,54.8119,612418.42155041
2020-03-31,56.0531,57.3898,55.7662,57.1231,1050388.8668733
2020-04-01,56.3392,57.1798,55.4609,56.0724,666573.20433668
2020-04-02,56.2439,56.7215,54.6395,56.3016,821290.77072836
2020-04-03,56.3016,56.6646,54.7165,56.5683,1382545.1242466
2020-04-06,57.8674,62.432,57.8674,62.0689,1382110.0167875
2020-04-07,64.7624,68.3523,64.5515,65.889,1925981.8792404
2020-04-08,66.0412,66.6527,64.2462,64.4562,1043498.8000701
2020-04-09,65.889,66.3657,64.1701,66.2136,908317.45474376
2020-04-14,69.5176,72.4777,68.7154,71.5803,1441879.658836
2020-04-15,72.5731,72.5731,66.385,67.0918,1249066.8248218
2020-04-16,67.7987,68.2378,66.385,67.4355,691485.44286098
2020-04-17,69.8228,70.4719,69.0399,69.1738,734929.72843426
2020-04-20,69.6697,69.8421,67.894,69.5368,550963.38712488
2020-04-21,68.2763,68.6576,65.9843,66.6142,744119.94564727
2020-04-22,66.2704,69.2306,64.8384,68.753,646246.72843527
2020-04-23,69.2306,70.4719,68.3523,70.4719,576736.4945836
2020-04-24,69.6129,70.7588,69.0399,69.5176,436095.01794586
2020-04-27,70.6635,70.8735,68.5816,69.2306,543184.41343644
2020-04-28,69.2306,70.6442,67.8555,70.2244,611064.29237009
2020-04-29,70.6635,74.9218,70.3197,74.1967,815825.44720383
2020-04-30,74.3874,75.724,72.3824,73.5092,795386.81949914
2020-05-04,71.6179,71.9048,69.8228,70.6635,571603.47269841
2020-05-05,71.6179,72.783,70.912,71.485,348871.02983209
2020-05-06,71.6179,71.7132,70.0905,70.6635,542532.27146923
2020-05-07,70.7974,72.4777,69.8035,71.7902,439056.65630648
2020-05-08,72.6299,73.8144,72.5924,73.5284,362957.50401226
2020-05-11,73.8904,74.3874,71.2557,71.9423,444498.09565068
2020-05-12,71.2557,73.1653,71.0833,72.2294,325122.8854881
2020-05-13,71.6179,72.1147,70.4719,70.4719,415001.1329461
2020-05-14,70.0905,70.9495,67.8555,68.753,737857.09818832
2020-05-15,69.7082,71.4271,69.4029,69.479,598043.26032106
2020-05-18,71.1412,77.6346,71.1412,77.4622,2320787.3800556
2020-05-19,78.0929,80.1932,76.7178,79.1618,950991.21589082
2020-05-20,79.1618,79.7541,77.6153,79.3525,614608.49704218
2020-05-21,79.3525,79.5441,77.2522,77.4429,493557.24048619
2020-05-22,75.438,76.7178,74.5598,76.3162,445640.38253591
2020-05-25,77.1569,77.596,76.5261,76.8131,190523.06803062
2020-05-26,78.3982,81.4922,77.882,81.3583,892073.09679313
2020-05-27,81.3583,84.853,80.3838,81.473,1321978.9967063
2020-05-28,82.5997,82.9434,80.5177,81.5298,974118.37154629
2020-05-29,81.1677,83.0773,81.1677,82.3897,1268213.6299036
2020-06-01,84.3186,84.853,82.5997,83.4779,505492.06155162
2020-06-02,83.6502,84.7962,82.9819,84.1279,708324.82843456
2020-06-03,84.3186,85.7698,83.7263,83.8987,806771.26597442
2020-06-04,83.841,85.1014,83.1534,84.2232,648119.04048443
2020-06-05,84.9869,88.1378,84.7769,87.3934,1074455.8131025
2020-06-08,87.3934,87.5648,85.5791,86.7058,626531.89523877
2020-06-09,86.7058,87.2788,83.6502,84.6239,743391.99736859
2020-06-10,84.9869,86.2089,83.631,85.8458,645986.07933691
2020-06-12,82.0074,84.9869,80.6901,83.4586,754788.90515534
2020-06-15,81.2245,81.7975,79.5441,81.0714,824800.70679389
2020-06-16,83.0773,85.7129,82.6757,83.7649,823477.73089227
2020-06-17,84.7577,85.0254,82.0652,82.905,630523.66868135
2020-06-18,83.0773,84.9676,82.3319,82.5997,750022.45351605
2020-06-19,83.5549,84.5478,83.1727,83.9363,1037665.867857
2020-06-22,83.9171,83.994,82.4273,83.0003,322734.46745534
2020-06-23,82.6381,85.9037,82.6381,85.8458,592718.12655063
2020-06-24,85.8084,87.5465,84.357,84.567,520467.44261703
2020-06-25,84.2425,86.0182,83.9748,85.8084,446999.70392934
2020-06-26,85.9422,86.7443,84.4139,84.6816,576360.5783541
2020-06-29,84.6046,86.3813,84.6046,86.3813,388911.30048738
2020-06-30,86.4188,87.1064,85.5599,86.8011,901721.26720285
2020-07-01,86.4766,88.8061,86.362,88.7685,779539.14663047
2020-07-02,88.7877,92.1486,88.5586,91.0796,1135427.9717084
2020-07-03,91.0796,91.6709,89.4936,90.0098,395389.10556927
2020-07-06,91.7662,93.4852,91.461,92.6262,607446.35827177
2020-07-07,92.3585,92.7977,91.1933,92.6262,432502.00647049
2020-07-08,92.0533,93.1992,91.9194,92.8169,401142.07770035
2020-07-09,93.2945,97.7329,93.2945,96.8277,1560481.2292445
2020-07-10,95.777,97.4055,94.5358,97.4055,541847.93778072
2020-07-13,99.312,103.703,98.7344,102.895,1304345.2025261
2020-07-14,101.219,101.749,99.1195,100.795,885831.01818664
2020-07-15,101.219,102.895,100.265,102.269,714724.75031973
2020-07-16,100.651,102.173,99.7841,102.173,634701.32335343
2020-07-17,101.508,102.557,100.699,102.413,657017.45532039
2020-07-20,101.941,105.61,101.219,105.61,1064685.1064633
2020-07-21,106.38,108.903,106.091,107.902,1278778.7451494
2020-07-22,108.095,110.386,107.902,109.818,1349927.64146
2020-07-23,110.386,114.402,110.339,113.632,1042516.4333488
2020-07-24,111.339,114.016,106.284,113.824,1101777.238512
2020-07-27,114.489,124.716,113.728,124.523,1735174.2779311
2020-07-28,124.186,127.383,120.18,123.608,1628049.5753913
2020-07-29,120.315,127.046,120.315,125.477,1343317.954165
2020-07-30,124.137,124.523,117.744,120.219,920885.72580919
2020-07-31,119.458,122.896,119.458,120.363,1046730.4335127
2020-08-03,121.085,125.524,120.315,124.282,911761.96892405
2020-08-04,124.282,125.092,121.653,123.608,575667.9371246
2020-08-05,125.092,131.399,125.092,131.013,1657850.8017844
2020-08-06,131.013,133.643,129.675,133.064,1197964.0249044
2020-08-07,132.352,133.017,129.299,129.868,683660.77769714
2020-08-10,129.868,133.161,129.868,131.774,529563.16155135
2020-08-11,130.869,133.498,125.284,126.045,747767.99458165
2020-08-12,121.326,128.288,120.363,128.288,994131.23777557
2020-08-13,128.057,128.105,126.526,127.479,412258.60597891
2020-08-14,127.575,128.336,125.332,126.045,416626.295651
2020-08-17,126.526,129.819,126.526,129.819,568033.30696075
2020-08-18,129.299,131.35,129.107,129.868,732138.3946638
2020-08-19,131.774,133.402,131.013,132.015,615016.604993
2020-08-20,128.914,129.868,124.427,128.24,744971.46859808
2020-08-21,128.481,129.53,126.43,127.816,492421.18425669
2020-08-24,128.336,132.207,128.288,131.678,387426.32753657
2020-08-25,131.63,132.448,127.287,127.528,271492.51622642
2020-08-26,127.961,131.254,127.094,131.254,426865.33991317
2020-08-27,131.109,131.254,128.77,129.579,523428.04253503
2020-08-28,130.628,131.207,129.252,130.483,365765.45286469
2020-08-31,130.436,131.967,129.916,130.677,764247.04056507
2020-09-01,131.774,133.209,129.868,130.109,671037.46917269
2020-09-02,130.301,133.209,129.916,131.967,668159.94466453
2020-09-03,131.919,132.207,127.142,127.142,614357.19392743
2020-09-04,126.045,130.109,124.234,128.432,570133.03794433
2020-09-07,129.386,131.254,129.386,130.821,578642.03679669
2020-09-08,131.303,131.87,124.331,125.235,744873.85499152
2020-09-09,125.092,131.774,124.802,131.207,550717.27622324
2020-09-10,130.06,130.773,128.192,128.77,331166.62155361
2020-09-11,129.203,130.301,127.431,130.301,434766.84983112
2020-09-14,130.821,133.017,130.205,130.677,444911.39581461
2020-09-15,131.207,132.16,129.107,130.156,502634.2674533
2020-09-16,130.156,130.349,128.105,129.107,660548.16023838
2020-09-17,126.141,127.624,124.947,126.045,861473.30802298
2020-09-18,127.287,128.673,126.767,128.009,1118706.9685938
2020-09-21,126.526,128.529,121.75,121.846,467244.14286353
2020-09-22,121.557,123.425,120.748,121.037,412180.72278219
2020-09-23,117.454,119.313,111.243,115.404,560733.05532149
2020-09-24,112.678,114.21,110.676,111.484,743984.94810629
2020-09-25,112.341,116.02,111.437,112.726,614630.30433727
2020-09-28,115.404,116.781,113.439,115.971,490856.25122392
2020-09-29,115.548,115.971,112.726,112.919,396774.38802827
2020-09-30,112.341,113.063,109.337,112.678,599267.58417351
2020-10-01,113.159,114.73,109.953,109.953,387982.93278247
2020-10-02,108.576,110.098,106.948,109.818,614116.27523891
2020-10-05,109.288,113.92,109.241,112.967,771645.94425351
2020-10-06,113.584,113.92,110.482,111.918,410058.14606091
2020-10-07,111.58,114.585,110.579,114.585,670703.0906481
2020-10-08,115.452,115.924,109.818,110.916,618278.35327165
2020-10-09,110.29,114.537,110.29,114.537,460868.10515869
2020-10-12,115.259,119.554,114.537,116.405,813495.18195795
2020-10-13,116.501,116.501,112.726,113.632,236487.65384977
2020-10-14,114.537,119.746,114.402,118.889,941570.46441551
2020-10-15,117.454,119.505,116.828,118.889,1248436.4901497
2020-10-16,119.505,122.847,119.217,120.652,675296.12236936
2020-10-19,121.278,122.655,119.313,119.362,408299.02425765
2020-10-20,119.169,122.424,118.745,122.424,522820.55360061
2020-10-21,123.088,125.332,122.511,125.284,676660.6359759
2020-10-22,124.716,125.669,120.989,121.364,601150.2806489
2020-10-23,121.085,122.751,120.507,120.796,1136082.1905608
2020-10-26,119.458,121.037,118.456,119.362,444088.94925724
2020-10-27,119.362,121.846,118.505,120.18,516175.55925642
2020-10-28,118.889,121.182,117.022,117.744,1271425.5329363
2020-10-29,117.744,119.121,112.534,112.534,889819.67630135
2020-10-30,109.818,112.919,108.903,112.823,639601.73409108
2020-11-02,112.775,115.355,111.243,114.777,359691.60196312
2020-11-03,115.731,125.043,115.163,125.043,832179.8800725
2020-11-04,122.231,122.751,117.84,122.607,728986.72130318
2020-11-05,123.184,127.094,121.75,126.333,668514.05359895
2020-11-06,125.092,131.726,123.801,131.63,748870.82064721
2020-11-09,131.63,136.079,130.205,131.254,945033.67056301
2020-11-10,130.012,130.821,126.718,128.577,532114.61507591
2020-11-12,127.865,131.774,126.141,130.821,613032.14114056
2020-11-13,129.916,130.628,127.672,129.434,429345.14089675
2020-11-16,131.774,138.371,131.774,138.371,963295.72253002
2020-11-17,137.273,141.664,134.644,136.166,1113934.2862988
2020-11-18,136.166,138.178,134.644,134.644,428207.00778201
2020-11-19,133.874,134.644,129.338,129.819,511698.83310893
2020-11-20,131.822,136.079,130.012,136.079,423712.62810993
2020-11-23,135.598,137.6,133.498,134.644,427300.44737219
2020-11-24,136.262,141.327,135.598,141.327,631706.45482888
2020-11-25,141.327,145.429,140.99,145.429,818157.78933495
2020-11-26,146.103,149.782,145.525,148.674,562842.13228868
2020-11-27,148.396,151.351,148.299,148.396,589441.84007526
2020-11-30,148.963,149.253,141.52,142.281,1229133.9186745
2020-12-01,143.138,149.917,142.858,149.917,508465.1227811
2020-12-02,149.917,157.322,147.576,157.226,741640.14466369
2020-12-03,157.081,159.903,153.836,159.277,570907.71614104
2020-12-04,159.566,167.491,159.517,167.491,673808.03409069
2020-12-07,166.683,169.205,163.245,169.205,679126.93720538
