Date,Opening,Highest,Lowest,Closing
19/12/2004,433.8,442.5,433.8,440.5
26/12/2004,441.1,443.9,438.5,442.1
02/01/2005,442.2,445.2,433.3,437.9
09/01/2005,437.9,438,416.5,418.5
16/01/2005,418.6,427.6,418.5,422.5
23/01/2005,422.8,428.1,419.8,426.3
30/01/2005,426.8,427.8,420.8,425.9
06/02/2005,426,426,413.7,414
13/02/2005,414.3,421.8,410.3,420.6
20/02/2005,420.5,428.3,420.3,426.8
27/02/2005,426.8,436.4,425.8,434.5
06/03/2005,434.8,437.6,428.4,433.7
13/03/2005,433.9,447,431.9,445.5
20/03/2005,445.6,445.6,435.2,438.9
27/03/2005,438.9,438.9,424,424.3
03/04/2005,425,428.7,423.1,428
10/04/2005,425.8,428.2,422.3,426.4
17/04/2005,426.6,430.2,421.6,424.4
24/04/2005,424.5,435.4,422.9,433.7
01/05/2005,434.2,437.3,430.4,434.5
08/05/2005,434.5,434.6,423.6,425.8
15/05/2005,425.8,428.3,418.4,419.9
22/05/2005,420,422.9,416.3,417.3
29/05/2005,417.3,420.1,415.9,420
05/06/2005,420.1,424.6,413.5,423.4
12/06/2005,422.1,428,420.9,427
19/06/2005,426.6,439,423.8,437.7
26/06/2005,437.2,443.3,433.6,440
03/07/2005,439.5,440.1,426.5,426.8
10/07/2005,427.2,428.6,421.2,422.6
17/07/2005,422.6,427.2,417.7,420.8
24/07/2005,421.2,426.6,418.6,424.6
31/07/2005,424.6,430.5,421.5,429.7
07/08/2005,429.4,439.1,428.7,437
14/08/2005,436.9,449.49,432.6,446.4
21/08/2005,445.8,446.3,435.6,436.9
28/08/2005,435.8,440.6,435.5,437.1
04/09/2005,437.1,446.87,429,444.1
11/09/2005,444.1,449.7,442.6,448.7
18/09/2005,448.8,460.05,444.4,459.2
25/09/2005,459.2,475.2,458.1,463.4
02/10/2005,463.4,474.4,457.6,468.5
09/10/2005,468.7,475.7,462.9,474.4
16/10/2005,474.3,480.04,465.5,468.8
23/10/2005,469.1,475.3,459.6,466.7
30/10/2005,466.5,475.6,462.8,472.7
06/11/2005,472.7,472.9,454.8,455.85
13/11/2005,456.4,469.7,455.9,468.2
20/11/2005,468.2,488.6,466.2,485.3
27/11/2005,485.3,496.7,484.4,495.5
04/12/2005,495.5,506.3,490.5,502.9
11/12/2005,502.9,530.5,502.9,525.7
18/12/2005,526.4,540.9,492.8,502.6
25/12/2005,502.6,508.94,489.6,502.4
01/01/2006,502.5,517.7,502.4,516.5
08/01/2006,516.4,539.8,516.4,539.45
15/01/2006,539.2,557.5,535,555.5
22/01/2006,555.5,567.8,539,553
29/01/2006,553.2,566.4,550.9,558.75
05/02/2006,558.9,575.03,557.7,566.8
12/02/2006,567,573.6,544.73,549.9
19/02/2006,549.8,554.2,534.4,551.6
26/02/2006,552.3,559.2,546.7,558.4
05/03/2006,558.4,570.2,552.1,565.9
12/03/2006,564.9,568.1,533.7,539.8
19/03/2006,540.3,557.4,540,554
26/03/2006,553.5,560.9,544.2,559.85
02/04/2006,559.9,588.7,558.1,580.9
09/04/2006,582.73,598.04,581.3,587.8
16/04/2006,590.5,603.78,589.73,595.9
23/04/2006,599,645.63,599,635.23
30/04/2006,633.3,655.5,617.45,649.95
07/05/2006,653.55,684.55,651.3,682.1
14/05/2006,681.7,730,671.25,709.9
21/05/2006,713.9,719.85,650.9,658.33
28/05/2006,657,674.1,635.6,651.8
